"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2010-12-1","94.75","85.71","95.20","85.41","2.61M","10.28%"
"2010-11-1","85.92","83.13","89.70","82.43","3.58M","3.33%"
"2010-10-1","83.15","82.21","86.02","80.75","3.50M","1.02%"
"2010-9-1","82.31","74.46","82.40","74.42","3.24M","10.28%"
"2010-8-1","74.64","78.11","82.86","71.75","3.28M","-4.53%"
"2010-7-1","78.18","74.65","78.31","70.77","2.92M","4.23%"
"2010-6-1","75.01","74.82","79.86","70.50","3.38M","0.48%"
"2010-5-1","74.65","87.44","89.58","68.15","3.47M","-14.63%"
"2010-4-1","87.44","82.44","87.75","82.22","3.12M","5.73%"
"2010-3-1","82.70","77.69","82.82","76.21","3.38M","6.59%"
"2010-2-1","77.59","71.35","78.94","67.87","3.29M","8.58%"
"2010-1-1","71.46","78.49","82.45","71.02","2.81M","-8.30%"
"2009-12-1","77.93","78.42","79.91","71.02","2.46M","-0.69%"
"2009-11-1","78.47","75.24","80.14","73.70","2.92M","4.35%"
"2009-10-1","75.20","68.92","80.26","65.90","2.94M","8.88%"
"2009-9-1","69.07","69.65","72.20","64.08","2.75M","-0.83%"
"2009-8-1","69.65","71.98","76.00","68.85","2.15M","-2.86%"
"2009-7-1","71.70","69.90","72.12","59.49","2.49M","3.46%"
"2009-6-1","69.30","65.77","73.50","64.91","2.39M","5.77%"
"2009-5-1","65.52","50.70","65.80","49.96","1.95M","28.98%"
"2009-4-1","50.80","48.37","54.31","47.26","2.04M","3.19%"
"2009-3-1","49.23","45.56","53.86","41.30","2.18M","6.21%"
"2009-2-1","46.35","46.06","48.42","39.35","1.93M","1.02%"
"2009-1-1","45.88","43.85","52.21","41.60","2.16M","0.64%"
"2008-12-1","45.59","53.00","53.00","36.20","1.87M","-14.77%"
"2008-11-1","53.49","64.30","67.76","47.40","2.12M","-18.11%"
"2008-10-1","65.32","99.45","100.31","59.02","2.39M","-33.46%"
"2008-9-1","98.17","115.50","115.56","88.90","2.35M","-13.92%"
"2008-8-1","114.05","123.42","127.94","110.31","2.00M","-8.01%"
"2008-7-1","123.98","140.44","147.50","120.88","2.14M","-11.34%"
"2008-6-1","139.83","127.22","143.91","121.32","2.15M","9.43%"
"2008-5-1","127.78","112.74","135.14","108.42","2.34M","14.74%"
"2008-4-1","111.36","100.50","117.56","98.99","2.34M","11.03%"
"2008-3-1","100.30","100.12","108.02","96.92","2.22M","0.20%"
"2008-2-1","100.10","91.50","101.27","86.83","2.23M","8.56%"
"2008-1-1","92.21","94.47","98.50","85.00","2.27M","-1.75%"
"2007-12-1","93.85","88.74","95.87","86.56","1.56M","6.33%"
"2007-11-1","88.26","90.94","96.65","87.55","2.22M","-2.62%"
"2007-10-1","90.63","79.25","91.18","75.64","2.11M","14.48%"
"2007-9-1","79.17","72.69","81.05","72.69","1.79M","8.91%"
"2007-8-1","72.69","76.95","77.16","68.14","1.81M","-5.66%"
"2007-7-1","77.05","71.22","78.40","70.92","1.59M","7.90%"
"2007-6-1","71.41","68.15","72.25","67.61","1.72M","4.95%"
"2007-5-1","68.04","67.53","71.80","63.80","2.03M","0.58%"
"2007-4-1","67.65","67.91","69.59","64.76","1.49M","-0.66%"
"2007-3-1","68.10","61.75","69.14","59.79","1.86M","10.03%"
"2007-2-1","61.89","57.16","62.18","56.10","1.77M","7.82%"
"2007-1-1","57.40","60.88","61.64","50.75","2.11M","-5.69%"
"2006-12-1","60.86","63.80","64.92","60.04","1.16M","-5.29%"
"2006-11-1","64.26","58.85","64.77","57.75","1.73M","8.86%"
"2006-10-1","59.03","62.70","62.82","57.39","1.85M","-5.52%"
"2006-9-1","62.48","70.42","70.66","59.32","1.51M","-11.06%"
"2006-8-1","70.25","75.15","78.65","68.82","1.36M","-6.52%"
"2006-7-1","75.15","73.26","78.18","72.11","1.56M","2.23%"
"2006-6-1","73.51","70.25","73.69","66.33","1.54M","4.40%"
"2006-5-1","70.41","71.98","74.97","67.63","1.56M","-2.88%"
"2006-4-1","72.50","66.30","74.79","65.73","1.31M","10.00%"
